670,0,0,0,0,0,0,0,1,1,1
660,1,1,1,1,1,2,2,2,2,4
650,4,4,4,4,4,4,4,4,5,5
640,5,6,8,10,12,14,17,20,21,21
630,25,27,32,36,38,43,45,52,58,63
620,67,68,75,79,85,91,96,103,110,113
610,119,129,137,148,154,161,168,176,184,198
600,216,230,245,252,267,285,301,325,339,350
590,367,383,407,423,447,465,483,502,536,563
580,586,614,638,656,684,709,736,760,796,830
570,858,896,920,956,985,1024,1073,1116,1163,1210
560,1253,1300,1345,1380,1426,1476,1534,1577,1627,1675
550,1728,1778,1836,1893,1952,2007,2071,2119,2172,2238
540,2312,2377,2435,2514,2572,2633,2710,2792,2845,2910
530,2989,3070,3151,3233,3298,3373,3465,3547,3626,3711
520,3792,3874,3964,4041,4128,4217,4314,4395,4479,4561
510,4657,4768,4871,4980,5093,5185,5288,5390,5484,5577
500,5664,5753,5874,5996,6105,6192,6305,6412,6549,6669
490,6784,6907,7031,7170,7284,7406,7519,7626,7740,7856
480,7979,8105,8226,8360,8499,8631,8761,8896,9020,9162
470,9282,9426,9562,9715,9856,10013,10162,10310,10428,10577
460,10727,10861,11015,11163,11323,11470,11627,11788,11945,12097
450,12268,12426,12559,12748,12908,13077,13247,13400,13568,13712
440,13867,14040,14221,14383,14556,14714,14882,15022,15183,15341
430,15508,15686,15884,16033,16201,16370,16528,16676,16862,17018
420,17197,17353,17526,17687,17827,17998,18182,18336,18499,18670
410,18838,19011,19173,19339,19510,19685,19840,20007,20185,20340
400,20483,20638,20814,20984,21131,21268,21407,21585,21744,21897
390,22052,22206,22344,22508,22654,22802,22960,23094,23262,23425
380,23562,23717,23869,24043,24194,24335,24504,24638,24787,24939
370,25076,25243,25389,25551,25696,25850,26003,26130,26309,26456
360,26589,26730,26884,27034,27167,27295,27462,27605,27736,27879
350,28029,28165,28305,28469,28629,28760,28906,29050,29180,29295
340,29450,29584,29725,29855,29986,30095,30218,30361,30470,30596
330,30699,30824,30956,31096,31213,31337,31463,31591,31734,31836
320,31949,32087,32206,32332,32455,32563,32669,32786,32897,32998
310,33106,33212,33324,33426,33527,33630,33726,33824,33947,34029
300,34123,34221,34307,34407,34481,34583,34662,34750,34839,34929
290,35021,35113,35214,35301,35384,35475,35562,35644,35722,35805
280,35901,35980,36056,36122,36198,36283,36350,36416,36482,36545
270,36606,36680,36741,36828,36900,36971,37042,37105,37166,37211
260,37263,37320,37368,37422,37480,37542,37604,37657,37705,37770
250,37815,37863,37908,37955,38005,38049,38094,38135,38178,38214
240,38252,38292,38330,38365,38401,38433,38473,38505,38542,38574
230,38606,38640,38677,38695,38721,38740,38774,38801,38821,38850
220,38877,38894,38915,38942,38965,38978,38993,39010,39034,39055
210,39072,39083,39104,39124,39138,39151,39162,39175,39184,39203
200,39212,39226,39237,39245,39257,39271,39283,39291,39297,39309
190,39312,39319,39323,39331,39344,39350,39360,39368,39373,39380
180,39386,39393,39398,39407,39413,39418,39419,39424,39430,39437
170,39445,39451,39458,39460,39466,39469,39472,39474,39476,39476
160,39478,39481,39484,39486,39488,39491,39495,39498,39499,39501
150,39504,39505,39507,39507,39507,39508,39509,39509,39512,39513
140,39514,39515,39516,39520,39523,39523,39527,39527,39529,39532
130,39534,39534,39535,39537,39537,39538,39540,39541,39543,39543
120,39545,39547,39548,39548,39549,39551,39552,39554,39556,39557
110,39557,39557,39557,39557,39558,39559,39559,39559,39559,39559
100,39559,39559,39559,39559,39559,39562,39563,39564,39564,39565
90,39565,39565,39566,39567,39567,39567,39567,39567,39567,39567
80,39567,39567,39567,39569,39570,39570,39570,39573,39574,39575
70,39577,39577,39579,39580,39581,39585,39586,39586,39587,39590
60,39590,39590,39592,39595,39596,39597,39597,39600,39600,39600
50,39600,39600,39600,39600,39601,39602,39602,39603,39603,39603
40,39604,39604,39604,39605,39606,39606,39606,39606,39607,39607
30,39609,39609,39609,39610,39611,39611,39611,39611,39611,39612
20,39612,39612,39612,39612,39612,39612,39613,39613,39614,39616
10,39616,39617,39619,39619,39619,39620,39620,39620,39620,39623
0,39623,39624,39625,39625,39696,39696,39696,39697,39697,40189
