0,汉语言文学,581,578,581,578,0,0,,,
0,英语,585,580,585,580,0,0,,,
0,新闻学,590,589,590,589,0,0,,,
0,广告学,587,580,587,580,0,0,,,
0,文化产业管理,580,580,580,580,0,0,,,
0,0,0,0,0,0,0,0,,,
中央财经大学,0,13,622,600,13,622,600,,,
0,金融学,622,622,622,622,0,0,,,
0,法学,607,600,607,600,0,0,,,
0,国际政治,600,600,600,600,0,0,,,
0,社会学,611,608,622,608,0,0,,,
0,英语,608,601,608,601,0,0,,,
0,会计学,619,612,619,612,0,0,,,
0,0,0,0,0,0,0,0,,,
首都经济贸易大学,0,6,574,551,6,574,551,,,
0,国际经济与贸易,566,560,566,560,0,0,,,
0,财务管理,574,559,574,559,0,0,,,
0,劳动与社会保障,558,551,558,551,0,0,,,
0,0,0,0,0,0,0,0,,,
北京体育大学,0,8,543,524,8,543,524,,,
0,英语,537,535,537,535,0,0,,,
0,新闻学,543,543,543,543,0,0,,,
0,广告学,532,532,532,532,0,0,,,
0,体育经济与管理,535,530,535,530,0,0,,,
0,公共事业管理,525,524,525,524,0,0,,,
0,0,0,0,0,0,0,0,,,
中央民族大学,0,33,586,548,33,586,548,,,
0,哲学,548,548,548,548,0,0,,,
0,宗教学,551,551,551,551,0,0,,,
0,金融学,576,573,576,573,0,0,,,
0,法学,549,549,549,549,0,0,,,
0,法学(法学与英语),559,556,559,556,0,0,,,
0,政治学与行政学,555,555,555,555,0,0,,,
0,社会学,552,548,552,548,0,0,,,
0,社会工作,548,548,548,548,0,0,,,
0,民族学,573,573,573,573,0,0,,,
0,民族学(民族理论与名族政策),549,549,549,549,0,0,,,
0,教育学,586,551,586,551,0,0,,,
0,汉语言文学,560,559,560,559,0,0,,,
0,汉语国际教育,575,575,575,575,0,0,,,
0,英语(语言文学),563,559,563,559,0,0,,,
0,俄语(俄语、土库曼语),558,558,558,558,0,0,,,
0,日语(日本语言文化),558,558,558,558,0,0,,,
0,朝鲜语,562,548,562,548,0,0,,,
0,翻译(英语),564,564,564,564,0,0,,,
0,新闻传播学类,567,566,567,566,0,0,,,
0,历史学(基地班),572,572,572,572,0,0,,,
0,文物与博物馆学,553,551,553,551,0,0,,,
0,公共管理类,549,549,549,549,0,0,,,
0,0,0,0,0,0,0,0,,,
中国政法大学,0,28,601,579,28,601,579,,,
0,法学,597,583,597,583,0,0,,,
0,法学(人才培养模式改革实验班),601,595,601,595,0,0,,,
0,法学(涉外法律人才培养模式实验班),594,592,594,592,0,0,,,
0,国际政治,584,583,584,583,0,0,,,
0,社会学类,583,579,583,579,0,0,,,
0,思想政治教育,579,579,579,579,0,0,,,
0,汉语言文学,588,581,588,581,0,0,,,
0,英语,592,588,592,588,0,0,,,
0,国际商务,591,591,591,591,0,0,,,
0,0,0,0,0,0,0,0,,,
华北电力大学(北京),0,9,564,552,9,564,552,,,
0,法学,554,554,554,554,0,0,,,
0,英语,559,557,559,557,0,0,,,
0,广告学,561,561,561,561,0,0,,,
0,会计学,564,564,564,564,0,0,,,
0,财务管理,564,564,564,564,0,0,,,
0,行政管理,560,552,560,552,0,0,,,
0,劳动与社会保障,561,561,561,561,0,0,,,
0,0,0,0,0,0,0,0,,,
中国矿业大学(北京),0,6,546,519,546,519,0,,,
0,英语,545,536,545,536,0,0,,,
0,工商管理类,562,562,562,562,0,0,,,
0,0,0,0,0,0,0,0,,,
中国石油大学(北京),0,3,562,536,3,562,536,,,
0,英语,545,536,545,536,0,0,,,
0,工商管理类,562,562,562,562,0,0,,,
0,0,0,0,0,0,0,0,,,
中国地质大学(北京),0,4,551,518,4,551,518,,,
0,英语,551,518,551,518,0,0,,,
0,0,0,0,0,0,0,0,,,
中国人民大学(苏州校区),0,8,600,575,8,600,575,,,
0,国民经济管理(中外合作),578,576,578,576,0,0,,,
0,金融学(中外合作),600,583,600,583,0,0,,,
0,法学(中外合作),578,575,578,575,0,0,,,
0,0,0,0,0,0,0,0,,,
南开大学,0,27,613,590,27,613,590,,,
