700,0,0,0,1,1,1,2,2,2,3
690,3,6,6,8,10,12,14,14,14,19
680,20,22,24,25,27,28,30,33,38,39
670,41,41,44,47,51,54,57,65,68,72
660,81,88,97,102,112,124,139,151,163,172
650,185,196,208,223,229,249,260,279,294,316
640,336,349,368,388,413,436,461,485,505,530
630,552,574,604,631,661,696,736,771,804,846
620,883,918,972,1024,1063,1103,1142,1188,1224,1273
610,1313,1373,1421,1473,1522,1578,1624,1672,1721,1772
600,1825,1891,1970,2032,2102,2166,2237,2294,2357,2427
590,2511,2579,2646,2719,2802,2905,2996,3099,3205,3290
580,3394,3482,3568,3665,3758,3876,3976,4091,4211,4333
570,4462,4568,4679,4816,4931,5070,5197,5331,5458,5599
560,5765,5921,6069,6218,6361,6507,6679,6839,7002,7150
550,7334,7492,7659,7828,8017,8201,8374,8571,8757,8971
540,9159,9354,9578,9777,9993,10201,10402,10630,10866,11081
530,11284,11516,11733,11953,12163,12422,12674,12926,13174,13395
520,13650,13917,14158,14433,14702,14970,15218,15473,15742,16006
510,16266,16542,16787,17053,17371,17649,17954,18231,18534,18840
500,19138,19423,19731,20009,20313,20594,20895,21209,21501,21792
490,22084,22373,22687,22998,23325,23640,23961,24258,24536,24842
480,25147,25466,25769,26072,26399,26727,27028,27332,27675,27976
470,28297,28638,28950,29267,29630,29961,30284,30601,30927,31260
460,31576,31964,32295,32665,33007,33373,33693,34040,34380,34742
450,35084,35420,35742,36072,36409,36767,37125,37497,37872,38228
440,38580,38918,39254,39621,39985,40341,40708,41041,41392,41735
430,42081,42412,42757,43088,43425,43763,44124,44488,44850,45224
420,45627,45988,46358,46746,47080,47464,47847,48199,48576,48911
410,49278,49645,49993,50360,50736,51132,51492,51839,52190,52559
400,52918,53291,53625,53984,54345,54709,55080,55403,55803,56154
390,56493,56874,57212,57617,57985,58357,58730,59067,59440,59723
380,60113,60453,60816,61166,61490,61815,62170,62535,62888,63227
370,63560,63894,64221,64599,64947,65285,65641,65976,66306,66653
360,66963,67289,67611,67971,68308,68668,68967,69274,69611,69931
350,70261,70589,70931,71252,71576,71881,72178,72495,72818,73120
340,73433,73748,74072,74372,74688,74980,75278,75572,75901,76227
330,76527,76819,77127,77395,77664,77995,78297,78593,78938,79227
320,79517,79798,80108,80396,80698,80962,81245,81507,81772,82044
310,82299,82584,82875,83124,83398,83649,83920,84196,84457,84740
300,84996,85232,85490,85750,85974,86214,86468,86717,86942,87167
290,87419,87660,87862,88076,88280,88504,88713,88928,89131,89338
280,89580,89785,89974,90162,90367,90565,90763,90946,91145,91343
270,91524,91721,91913,92113,92303,92481,92661,92814,92992,93146
260,93332,93492,93678,93864,94048,94209,94369,94531,94680,94813
250,94948,95081,95217,95362,95510,95644,95776,95902,96058,96180
240,96318,96444,96560,96700,96787,96902,97015,97121,97223,97325
230,97420,97526,97637,97745,97846,97939,98016,98100,98195,98269
220,98342,98422,98484,98562,98641,98715,98784,98852,98921,98980
210,99049,99108,99179,99232,99289,99333,99393,99455,99516,99574
200,99614,99659,99702,99743,99776,99807,99838,99874,99909,99948
190,99979,100005,100028,100057,100087,100116,100137,100164,100193,100224
180,100252,100275,100290,100310,100328,100351,100366,100391,100414,100430
170,100447,100460,100473,100490,100501,100512,100526,100534,100549,100558
160,100570,100574,100583,100586,100592,100598,100609,100620,100625,100636
150,100641,100653,100658,100663,100668,100674,100679,100681,100682,100686
140,100691,100695,100701,100707,100711,100713,100716,100718,100721,100726
130,100730,100732,100736,100738,100740,100742,100744,100746,100746,100746
120,100749,100749,100750,100753,100754,100755,100757,100758,100759,100760
110,100760,100763,100764,100764,100765,100766,100769,100771,100771,100773
100,100775,100775,100775,100776,100776,100777,100779,100779,100782,100784
90,100786,100787,100788,100791,100792,100792,100793,100794,100795,100796
80,100796,100797,100800,100801,100803,100805,100807,100808,100809,100809
70,100811,100814,100815,100817,100818,100819,100820,100823,100825,100826
60,100826,100828,100828,100831,100831,100832,100832,100833,100833,100833
50,100834,100834,100836,100836,100836,100839,100840,100842,100842,100842
40,100842,100842,100842,100842,100842,100843,100843,100843,100844,100846
30,100846,100847,100847,100847,100847,100847,100849,100850,100850,100850
20,100850,100850,100851,100852,100853,100853,100853,100853,100853,100854
10,100854,100855,100855,100855,100855,100857,100857,100857,100857,100862
0,100862,100874,100874,100874,100990,100990,100990,100990,100990,101734
